tracking_id	gene_id	gene_short_name	locus	ESC	MES	HB	HE	HP	MAC
TSS10092	XLOC_009144	Gm14446	chr19:34592887-34601968	0.0377444	0.00400901	0	0.0190888	0.271057	1.76679
TSS10093	XLOC_009145	2010002M12Rik	chr19:34617050-34640743	0.0102409	0	0.00271714	0.0190512	0.028248	0.321309
TSS10094	XLOC_009146	Slc16a12	chr19:34668405-34747111	0.0373789	0.0769163	0.0197374	0.0258722	0.742584	0.52029
TSS10095	XLOC_009147	Pank1	chr19:34810893-34879455	0.800664	3.94404	4.46083	5.59537	6.13516	5.43703
TSS10096	XLOC_009147	Pank1	chr19:34810893-34879455	0.467401	1.83066	1.76076	2.30344	1.75116	2.28805
TSS10097	XLOC_009148	Htr7	chr19:35958728-36057360	0.105862	0.577195	0.232455	0.0061807	0.0567717	0.00909179
TSS10098	XLOC_009149	Ankrd1	chr19:36111964-36119844	1.44895	0.938491	0.557192	63.0909	10.7212	0.0320222
TSS10099	XLOC_009150	Ppp1r3c	chr19:36731730-36736604	0.111083	0.172562	0.143896	0.186557	0.049391	0.0545179
TSS101	XLOC_000090	Wdr75	chr1:45795500-45823613	48.1312	39.5323	49.4809	30.9839	33.3806	13.6754
TSS1010	XLOC_000919	2310009B15Rik	chr1:138851978-138856854	2.81624	1.78859	1.69652	3.35646	2.60157	4.60618
TSS10100	XLOC_009151	Fgfbp3	chr19:36917549-36919599	0.555105	0.369658	0.402178	0.47323	0.441873	0.462207
TSS10101	XLOC_009152	Cpeb3	chr19:37021290-37207293	0.250057	0.24049	0.249988	0.321171	0.264001	3.48599
TSS10102	XLOC_009153	Ide	chr19:37268740-37330613	24.2151	14.2918	12.1064	13.809	17.2671	13.1547
TSS10103	XLOC_009154	Myof	chr19:37899035-38043577	3.03192	1.15955	0.75888	3.08658	2.25855	108.922
TSS10104	XLOC_009155	Rbp4	chr19:38116619-38125321	0.474161	0.520261	0.839265	0.139174	0.0110076	50.52
TSS10105	XLOC_009155	Rbp4	chr19:38116619-38125321	0	0	0.14844	0	8.57526e-08	0
TSS10106	XLOC_009156	Fra10ac1	chr19:38188478-38224132	4.03608	2.22179	2.52828	2.28491	2.35996	3.47709
TSS10107	XLOC_009157	Noc3l	chr19:38788127-38819237	15.895	9.36135	11.2317	6.3972	8.71404	5.79892
TSS10108	XLOC_009158	Cyp2c38	chr19:39389555-39463075	0	0	0	0.0033372	0	0
TSS10109	XLOC_009159	Cyp2c67	chr19:39608858-39649042	0	0	0	0	0	0
TSS1011	XLOC_000920	Crb1	chr1:139198253-139377076	0.0296255	0.0457116	0.00576611	0.009475	0.00546709	0
TSS10110	XLOC_009160	Cyp2c68	chr19:39688835-39741101	0	0	0	0	0	0
TSS10111	XLOC_009161	Cyp2c40	chr19:39767072-39812814	0	0	0	0	0	0
TSS10112	XLOC_009162	Cyp2c69	chr19:39842659-39886769	0.113492	0	0	0	0	0.0117038
TSS10113	XLOC_009163	Cyp2c54	chr19:40037939-40073813	0	0	0	0	0	0
TSS10114	XLOC_009164	Cyp2c70	chr19:40153360-40187286	0	0	0	0	0	0
TSS10115	XLOC_009165	Pdlim1	chr19:40222238-40271616	9.52458	4.61149	4.30711	16.8509	5.60797	0.874893
TSS10116	XLOC_009166	Sorbs1	chr19:40292039-40513812	0.998451	0.126491	0.17607	1.75132	0.221392	0.0852009
TSS10117	XLOC_009166	Sorbs1	chr19:40292039-40513812	0.110944	0.178958	0.29382	0.876398	0.808717	0.126514
TSS10118	XLOC_009166	Sorbs1	chr19:40292039-40513812	1.00581	0.755998	0.810642	2.21191	0.694883	0.0120432
TSS1012	XLOC_000921	Cfhr1	chr1:139547063-139560222	0	0	0	0	0	0.00928009
TSS10120	XLOC_009168	Tctn3	chr19:40596445-40612215	1.47495	1.8068	1.78021	2.35671	2.49967	4.27922
TSS10121	XLOC_009169	Blnk	chr19:40928926-40994535	0.208338	0.0640371	0.0170575	0	0	6.09377
TSS10122	XLOC_009170	Opalin	chr19:41063419-41077113	0	0	0	0	0	0
TSS10123	XLOC_009171	Tll2	chr19:41083980-41206774	0	0.00255041	0.00765436	0.0170871	0.0126467	0
TSS10124	XLOC_009172	Tm9sf3	chr19:41210841-41264004	18.1526	25.0409	33.1273	42.6154	30.8785	77.3849
TSS10125	XLOC_009173	Pik3ap1	chr19:41274217-41385070	0.14861	0.0825577	0.0969272	0.139283	4.37222	65.0069
TSS10126	XLOC_009174	Slit1	chr19:41600256-41743856	0.12444	0.0529838	0.0819286	0.0824074	0.047254	0.178961
TSS10127	XLOC_009175	Arhgap19	chr19:41766587-41802084	16.7057	12.2886	16.7393	13.4581	15.7063	20.7507
TSS10128	XLOC_009176	Frat2	chr19:41845975-41848132	2.12557	1.65268	3.9778	3.72906	3.92787	1.8941
TSS10129	XLOC_009177	Rrp12	chr19:41862850-41896153	20.7556	17.2754	25.4714	13.3008	19.6745	7.54426
TSS1013	XLOC_000922	Gm4788	chr1:139697918-139781239	0	0	0	0	0	0.0419567
TSS10130	XLOC_009178	Exosc1	chr19:41922979-41933314	15.315	8.219	11.9717	6.99025	9.83184	5.29339
TSS10131	XLOC_009179	Mms19	chr19:41933471-41981136	12.2353	7.23397	7.74816	7.27699	6.95753	11.1929
TSS10132	XLOC_009180	Morn4	chr19:42074938-42086370	4.119	3.56597	4.91359	3.61991	2.43713	6.61233
TSS10133	XLOC_009181	Avpi1	chr19:42123274-42128993	16.186	14.5278	11.6184	12.9145	10.1991	6.74714
TSS10134	XLOC_009182	Sfrp5	chr19:42197970-42202252	0.165832	0.0369093	0.229024	0	0.0235903	0.0199681
TSS10135	XLOC_009183	Crtac1	chr19:42283036-42431783	0.422376	0.112337	0.0880944	0.00737402	0.0122222	0.0325454
TSS10136	XLOC_009184	Loxl4	chr19:42592278-42612806	1.82155	5.18211	2.67778	0.665927	0.171878	0.0149116
TSS10137	XLOC_009185	Pyroxd2	chr19:42725857-42752775	0	0.0107698	0.0218571	0.076347	0.148634	2.14933
TSS10138	XLOC_009186	Hps1	chr19:42755195-42779976	4.78209	3.40986	3.12824	4.17423	4.33949	11.4966
TSS10139	XLOC_009187	Hpse2	chr19:42788594-43388355	0	0.0206943	0.0119288	0.0279195	0.0155266	0
TSS1014	XLOC_000923	Cfhr2	chr1:139810291-139858699	0	0	0	0	0	0.0756031
TSS10140	XLOC_009188	Got1	chr19:43499752-43524605	37.5019	32.1384	32.8591	18.6273	13.0513	31.0579
TSS10141	XLOC_009189	Slc25a28	chr19:43663800-43674881	7.66725	7.82106	7.76519	6.65949	7.47655	9.6236
TSS10142	XLOC_009190	Cox15	chr19:43689688-43753000	6.06412	6.16713	7.48229	9.42649	10.6457	13.8103
TSS10143	XLOC_009191	Dnmbp	chr19:43846818-43940198	3.26812	2.27049	2.00784	4.46791	2.14046	2.91217
TSS10144	XLOC_009192	Cpn1	chr19:43956307-43986520	0.591022	0.0597247	0.02048	0	0	0.00714296
TSS10145	XLOC_009193	Cyp2c44	chr19:44005021-44029247	0.0600613	0.0351595	0.00616615	0	0	0
TSS10146	XLOC_009194	Erlin1	chr19:44034942-44069785	5.10901	4.6444	5.56137	6.16566	5.89433	10.4939
TSS10147	XLOC_009195	Chuk	chr19:44073333-44107477	11.7654	11.4335	14.253	13.8395	14.0815	18.625
TSS10148	XLOC_009196	Cwf19l1	chr19:44108636-44135876	4.34563	5.06181	5.7864	3.38595	4.46941	3.30583
TSS10149	XLOC_009197	Bloc1s2a	chr19:44139246-44146446	6.0146	5.773	6.47541	5.18683	4.45518	7.20253
TSS1015	XLOC_000924	Cfh	chr1:140085854-140183411	0	0.00695393	0	0.00213785	0.15364	13.345
TSS10150	XLOC_009198	Pkd2l1	chr19:44147636-44192442	0	0.007769	0.0237478	0.0147447	0.0173969	0.0155557
TSS10151	XLOC_009199	Scd1	chr19:44394449-44407709	8.5742	10.1481	16.0366	30.1537	22.257	18.365
TSS10152	XLOC_009200	Sec31b	chr19:44516956-44545848	0.0751863	0.138782	0.088559	0.0826646	0.164743	0.0689579
TSS10153	XLOC_009201	Ndufb8	chr19:44550253-44555415	126.95	96.5179	104.953	102.809	114.558	268.192
TSS10154	XLOC_009202	Mrpl43	chr19:45005013-45006442	17.835	20.4751	22.2477	19.5287	20.6078	48.6697
TSS10155	XLOC_009203	Pdzd7	chr19:45015175-45045772	0.201506	0.0267939	0.0139327	0.0328504	0.0291369	0.00905014
TSS10156	XLOC_009204	Lbx1	chr19:45233727-45235236	0.0436569	0	0.053191	0.0269007	0	0
TSS10157	XLOC_009205	Poll	chr19:45552275-45560543	5.24144	5.14042	5.7588	5.48868	4.47781	5.91465
TSS10158	XLOC_009206	Fbxw4	chr19:45560614-45660193	1.24604	4.84605	4.93652	6.06281	4.78445	18.7841
TSS10159	XLOC_009207	Fgf8	chr19:45736797-45742884	0.658801	74.7553	6.75803	0.0541091	0.0298627	0
TSS1016	XLOC_000925	Cdc73	chr1:143607498-143702684	18.1107	12.0506	11.5686	8.64432	9.64915	9.70998
TSS10160	XLOC_009208	Npm3	chr19:45747733-45749563	7.69886	25.2553	20.6723	9.75071	11.03	2.88329
TSS10161	XLOC_009209	Mgea5	chr19:45750258-45783291	36.436	54.5112	39.5718	29.5715	31.8878	57.0947
TSS10162	XLOC_009210	Kcnip2	chr19:45792345-45816063	0.671572	0.281028	0.074885	0	0.0162093	0.0203217
TSS10163	XLOC_009210	Kcnip2	chr19:45792345-45816063	0.258339	0.056539	0	0	0	4.20737e-07
TSS10164	XLOC_009211	9130011E15Rik	chr19:45818143-45998488	4.84842	2.95905	3.20341	3.72941	2.93678	4.19839
TSS10165	XLOC_009212	Ldb1	chr19:46032600-46045211	5.46368	5.80683	8.09854	7.35967	16.7545	2.53353
TSS10166	XLOC_009212	Ldb1	chr19:46032600-46045211	42.6043	10.4671	17.5978	22.1415	16.0035	28.4478
TSS10167	XLOC_009213	Pitx3	chr19:46131898-46148325	0.0264035	0.0257177	0.0243004	0	0	0
TSS10168	XLOC_009214	Psd	chr19:46304736-46327156	0.175949	0.0936439	0.0486226	0.058504	0.080967	0.0265274
TSS10169	XLOC_009215	Cuedc2	chr19:46328183-46338660	21.593	14.8824	11.9773	15.0573	12.1152	27.8158
TSS1017	XLOC_000926	Trove2	chr1:143750790-143777051	5.09843	6.17729	7.1607	9.29685	8.5928	8.05083
TSS10170	XLOC_009216	Actr1a	chr19:46376813-46395735	27.3506	25.425	29.2149	47.3499	30.6472	84.8392
TSS10171	XLOC_009217	Arl3	chr19:46531108-46573085	11.4697	8.12869	12.5076	13.9758	7.21619	11.461
TSS10172	XLOC_009218	Cyp17a1	chr19:46667164-46673000	0	0.00492865	0.144468	0.143441	0.0391035	0
TSS10173	XLOC_009219	Nt5c2	chr19:46886830-47024346	6.93432	6.19551	7.37496	6.15313	11.0978	17.7487
TSS10174	XLOC_009219	Nt5c2	chr19:46886830-47024346	0	0	0	0	0	0
TSS10175	XLOC_009219	Nt5c2	chr19:46886830-47024346	1.43759	0.725741	0.441895	0.181088	0.0182273	0.0443208
TSS10176	XLOC_009220	Pcgf6	chr19:47033618-47050845	18.4332	17.2348	16.9042	8.03214	7.57834	3.09142
TSS10177	XLOC_009221	Usmg5	chr19:47067747-47090625	6.00107	17.8014	24.9322	21.843	27.0094	28.3134
TSS10178	XLOC_009222	Calhm2	chr19:47132231-47138294	1.12577	1.45325	0.993077	0.773593	0.836617	2.26668
TSS10179	XLOC_009223	Calhm1	chr19:47141034-47144174	0	0.0286857	0	0	0	0
TSS1018	XLOC_000927	Rgs2	chr1:143999337-144004149	0.504575	0.454826	0.610637	3.25924	9.31877	150.868
TSS10181	XLOC_009225	Obfc1	chr19:47501047-47537020	15.0192	14.6054	17.0246	20.0851	7.38021	11.0952
TSS10182	XLOC_009226	Col17a1	chr19:47646340-47692042	0.0693352	0.0221528	0.0502008	0.00495295	0.00685115	0.00210843
TSS10183	XLOC_009227	Wdr96	chr19:47736856-47837361	0.127373	0.0367194	0.0107256	0.00154911	0.00418277	0.0269124
TSS10184	XLOC_009228	Itprip	chr19:47894595-47919299	0.696458	2.40535	2.97291	5.12881	4.71012	2.23427
TSS10185	XLOC_009229	Sorcs1	chr19:50143300-50678646	0.0142585	0.0218997	0.00593388	0.0210926	0.0171173	0.0321704
TSS10186	XLOC_009230	Xpnpep1	chr19:52991179-53038654	31.4486	31.9521	43.5346	64.0727	48.9457	50.1311
TSS10187	XLOC_009231	Smndc1	chr19:53379213-53390573	9.18557	11.699	11.3564	8.3998	9.19166	8.09329
TSS10188	XLOC_009232	Bbip1	chr19:53892230-54033278	1.90662	3.70224	5.15426	7.07639	5.57703	8.86786
TSS10189	XLOC_009233	Gpam	chr19:55069733-55099447	4.06486	4.96906	6.9349	8.08335	9.98404	7.11837
TSS1019	XLOC_000928	Rgs13	chr1:144138666-144177372	0	0	0	0	0	0
TSS10190	XLOC_009234	Gucy2g	chr19:55198097-55241236	0.114195	0	0	0	0.0119984	0.00956897
TSS10191	XLOC_009235	Zdhhc6	chr19:55298295-55316032	4.53339	15.429	19.0032	13.1389	11.4996	20.0241
TSS10192	XLOC_009236	Nrap	chr19:56287937-56390035	0.0140592	0.00311112	0.00146695	0.0190607	0.0129009	0.0530095
TSS10193	XLOC_009237	Dclre1a	chr19:56529160-56548222	3.80603	3.04209	3.20271	3.41559	4.19785	3.96328
TSS10194	XLOC_009238	A630007B06Rik	chr19:56790962-56813683	4.6295	5.29923	5.91898	7.98052	4.62638	7.28585
TSS10195	XLOC_009239	Afap1l2	chr19:56912353-57008575	0.711294	0.262433	0.0919022	1.10276	0.417134	0.034328
TSS10196	XLOC_009240	Ablim1	chr19:57033263-57216032	0.887793	2.964	12.1068	6.38435	0.612071	0.0838752
TSS10197	XLOC_009240	Ablim1	chr19:57033263-57216032	0.804205	0.140021	0.069327	2.09772	1.0971	0.202009
TSS10198	XLOC_009240	Ablim1	chr19:57033263-57216032	0	0	0	0	0	0
TSS10199	XLOC_009241	Gfra1	chr19:58236691-58454466	0.227696	0.0416181	0.0191977	0.0147256	0.0313811	0
TSS102	XLOC_000091	Dnahc7b	chr1:46066737-46373550	0.0260112	0.107123	0.0323632	0.117612	0.0556472	0
TSS1020	XLOC_000929	Rgs1	chr1:144244668-144249104	0	0	0	0	0.680423	125.73
TSS10200	XLOC_009242	1700019N19Rik	chr19:58785802-58794414	0	0	0.0334953	0.0251527	0	0
TSS10201	XLOC_009243	Hspa12a	chr19:58795750-58860984	0.502313	0.906358	8.45558	4.64919	0.462474	0.159351
TSS10202	XLOC_009244	4930506M07Rik	chr19:58973357-59076069	1.62146	0.712739	0.315516	0.0676367	0.13206	25.9583
TSS10203	XLOC_009245	Vax1	chr19:59166186-59170029	0.163507	0.66796	4.40812	0.319639	0.0294965	0
TSS10204	XLOC_009246	Pdzd8	chr19:59296083-59345780	8.85374	11.8513	17.2418	15.9788	14.3496	11.8499
TSS10205	XLOC_009247	Rab11fip2	chr19:59902883-59943654	0.532929	0.776388	0.828003	1.62718	1.20972	0.781352
TSS10206	XLOC_009247	Rab11fip2	chr19:59902883-59943654	0.221778	0.603792	0.693537	1.35243	1.48857	1.10841
TSS10207	XLOC_009248	D19Ertd737e	chr19:60198585-60226697	5.16181	7.31562	9.59892	6.80607	5.45789	6.44858
TSS10208	XLOC_009249	Prlhr	chr19:60466732-60468304	0	0	0	0	0.00584796	0
TSS10209	XLOC_009250	Cacul1	chr19:60524695-60581023	10.1798	13.8333	15.0363	15.051	9.65596	29.1644
TSS1021	XLOC_000930	Rgs18	chr1:144752840-144775421	0.0231499	0.0048751	0	0.026859	6.38352	13.6165
TSS10210	XLOC_009251	Eif3a	chr19:60761115-60790693	48.7652	90.7617	105.835	89.5545	93.7412	80.7504
TSS10211	XLOC_009252	Sfxn4	chr19:60837276-60861430	0.230448	0.391846	0.278318	0.506466	0.404946	0.609861
TSS10212	XLOC_009253	Prdx3	chr19:60864065-60874538	26.7897	27.7373	44.9105	85.9429	93.7875	120.703
TSS10213	XLOC_009254	Gm7102	chr19:61174685-61176309	1.39493	1.08474	0.964381	1.06777	0.942251	0.393814
TSS10214	XLOC_009255	Csf2ra	chr19:61224401-61228418	1.40104	1.17743	0.780633	1.01524	2.27298	63.5984
TSS10215	XLOC_009256	Csprs	chr1_GL456221_random:111571-163011	0	0	0	0	0	0
